"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),사이버 언어폭력,사이버 명예훼손,사이버 스토킹,사이버 성폭력,신상정보 유출,사이버 따돌림,사이버 갈취,사이버 강요
"전체",소계,2.6,1.4,1.2,1.0,0.5,0.4,0.2,0.1
"성별",남성,3.0,1.6,1.4,1.2,0.7,0.3,0.2,0.1
"성별",여성,2.1,1.2,1.0,0.8,0.3,0.4,0.1,0.1
"연령별",19~29세,5.9,2.6,2.5,1.7,1.0,0.9,0.4,0.2
"연령별",30~39세,3.6,1.7,1.4,1.2,0.4,0.3,0.2,0.0
"연령별",40~49세,2.3,1.3,1.5,1.5,0.8,0.5,0.2,0.1
"연령별",50~59세,1.0,1.3,0.4,0.5,0.2,0.1,0.1,0.0
"연령별",60~69세,0.6,0.3,0.5,0.2,0.2,0.1,0.1,0.1
"학력별",초졸이하,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0
"학력별",중졸,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0
"학력별",고졸,2.3,1.3,0.9,0.8,0.5,0.2,0.2,0.1
"학력별",대졸이상,3.0,1.6,1.6,1.3,0.6,0.5,0.2,0.1
"직업별",전문관리,3.9,3.4,2.0,2.2,0.5,0.6,0.3,0.3
"직업별",사무,3.3,1.4,1.9,1.1,0.8,0.4,0.3,0.0
"직업별",서비스판매,2.3,1.4,0.8,0.9,0.5,0.3,0.2,0.0
"직업별",농어업,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"직업별",기능노무,1.4,0.8,0.8,0.6,0.6,0.1,0.2,0.1
"직업별",학생,5.7,2.9,2.5,2.1,0.4,1.0,0.0,0.0
"직업별",주부,1.5,1.0,1.0,0.9,0.1,0.4,0.1,0.2
"직업별",무직/기타,3.1,1.1,1.3,0.5,0.8,0.3,0.3,0.3
"혼인상태별",미혼,5.0,2.0,2.0,1.3,1.0,0.7,0.3,0.1
"혼인상태별",기혼,1.7,1.2,1.0,0.9,0.4,0.2,0.1,0.0
"혼인상태별",사별/이혼/기타,1.1,0.7,0.4,1.1,0.2,0.2,0.2,0.4
"가구주여부별",가구주,2.3,1.4,1.1,1.0,0.6,0.2,0.2,0.0
"가구주여부별",가구원,2.9,1.5,1.3,1.1,0.4,0.5,0.2,0.1
"월평균 가구소득별",100만원 미만,2.5,1.6,0.8,0.0,0.4,0.4,0.0,0.0
"월평균 가구소득별",100~200만원 미만,1.7,0.6,0.5,0.3,0.6,0.0,0.0,0.0
"월평균 가구소득별",200~300만원 미만,2.0,0.9,0.7,0.8,0.3,0.3,0.3,0.1
"월평균 가구소득별",300~400만원 미만,2.5,1.5,1.3,1.2,0.6,0.4,0.2,0.1
"월평균 가구소득별",400~500만원 미만,3.6,1.9,1.4,1.2,0.4,0.4,0.2,0.1
"월평균 가구소득별",500~600만원 미만,2.6,1.5,1.0,0.9,0.6,0.4,0.1,0.1
"월평균 가구소득별",600~700만원 미만,2.5,1.1,1.7,1.4,0.4,0.7,0.0,0.0
"월평균 가구소득별",700만원 이상,2.0,1.7,2.4,1.2,1.2,0.2,0.4,0.2
"동거 가구원수별",1인,3.0,1.4,1.1,0.8,1.0,0.4,0.3,0.1
"동거 가구원수별",2인,1.8,1.2,1.2,0.9,0.2,0.2,0.1,0.1
"동거 가구원수별",3인,3.0,1.8,1.4,1.2,0.6,0.4,0.3,0.0
"동거 가구원수별",4인 이상,2.7,1.3,1.2,1.1,0.5,0.4,0.1,0.1
"거주지역별",대도시,3.7,1.9,1.4,1.0,0.7,0.5,0.2,0.1
"거주지역별",중소도시,2.0,1.3,1.5,1.2,0.5,0.3,0.2,0.0
"거주지역별",읍면지역,1.0,0.6,0.3,0.7,0.2,0.2,0.0,0.0
"권역별",수도권,3.4,1.8,1.9,1.7,0.7,0.6,0.2,0.1
"권역별",충청권,1.4,0.6,0.5,0.5,0.3,0.0,0.0,0.0
"권역별",호남권,2.2,1.3,0.5,0.3,0.6,0.2,0.2,0.0
"권역별",동북권,1.3,0.7,0.5,0.2,0.3,0.2,0.3,0.0
"권역별",동남권,1.8,1.2,0.4,0.2,0.3,0.2,0.2,0.0
"인터넷 이용시간별",1시간 미만,0.8,0.8,0.5,0.9,0.4,0.1,0.2,0.0
"인터넷 이용시간별",1~2시간 미만,1.5,0.9,0.9,0.7,0.4,0.3,0.2,0.1
"인터넷 이용시간별",2~3시간 미만,2.6,1.6,1.5,1.3,0.6,0.5,0.1,0.0
"인터넷 이용시간별",3~5시간 미만,4.4,2.3,2.6,1.6,0.9,0.6,0.2,0.1
"인터넷 이용시간별",5시간 이상,4.8,2.0,0.9,0.7,0.5,0.2,0.3,0.2
"사이버폭력 예방교육별",경험 있음,5.9,4.3,3.9,2.9,1.0,1.0,0.1,0.1
"사이버폭력 예방교육별",경험 없음,2.2,1.1,0.9,0.8,0.5,0.3,0.2,0.1
