"특성별(1)",특성별(2),2022,2022,2022,2022,2022
"특성별(1)",특성별(2),1개 (%),2~3개 (%),4~5개 (%),6~8개 (%),평균 (개)
"전체",소계,53.80,32.70,9.30,4.30,2.03
"성별",남학생,55.10,28.90,10.60,5.40,2.11
"성별",여학생,52.00,37.60,7.60,2.80,1.92
"학령별",초등학교,51.50,33.10,10.50,4.90,2.13
"학령별",중학교,55.40,32.70,7.90,3.90,1.93
"학령별",고등학교,56.70,31.50,8.60,3.20,1.92
"학교특성별",남학교,61.60,26.90,6.40,5.00,1.89
"학교특성별",여학교,44.60,44.10,4.60,6.60,2.27
"학교특성별",남녀공학,55.50,32.50,9.00,3.00,1.90
"거주지역별",대도시,51.90,31.80,12.20,4.20,2.10
"거주지역별",중소도시,55.50,33.50,6.50,4.40,1.95
"거주지역별",읍면지역,51.00,31.10,14.30,3.60,2.18
"권역별",수도권,50.20,34.90,10.30,4.60,2.12
"권역별",충청권,56.80,33.80,5.80,3.60,1.87
"권역별",호남권,61.50,26.70,8.30,3.50,1.84
"권역별",동북권,56.20,32.30,6.50,5.00,1.99
"권역별",동남권,55.10,29.50,11.40,3.90,2.02
"인터넷 이용 시간별",1시간 미만,61.10,24.90,7.50,6.60,1.99
"인터넷 이용 시간별",1~2시간 미만,56.80,29.80,11.40,2.00,1.90
"인터넷 이용 시간별",2~3시간 미만,44.70,35.90,12.60,6.70,2.35
"인터넷 이용 시간별",3~5시간 미만,54.50,37.30,5.90,2.30,1.86
"인터넷 이용 시간별",5시간 이상,56.70,29.30,9.00,5.00,2.01
"가정형편별",상위,50.30,22.50,17.90,9.40,2.46
"가정형편별",중위,54.50,34.70,7.50,3.40,1.94
"가정형편별",하위,53.00,32.30,11.90,2.80,2.12
"학업성적별",상위권,61.50,26.40,7.20,5.00,1.91
"학업성적별",중위권,51.50,35.70,8.90,3.90,2.02
"학업성적별",하위권,53.20,19.10,21.10,6.60,2.44
"사이버폭력 예방교육별",경험 있음,53.40,33.20,9.70,3.70,2.00
"사이버폭력 예방교육별",경험 없음,57.10,27.40,5.60,9.80,2.32
