"특성별(1)",특성별(2),2022,2022,2022,2022,2022
"특성별(1)",특성별(2),1개 (%),2~3개 (%),4~5개 (%),6개 이상 (%),평균 (개)
"전체",소계,67.20,29.60,2.70,0.50,1.49
"성별",남성,64.20,33.00,2.40,0.40,1.50
"성별",여성,71.30,24.80,3.20,0.70,1.47
"연령별",19~29세,62.90,34.00,2.30,0.80,1.57
"연령별",30~39세,71.10,26.90,2.00,0.00,1.38
"연령별",40~49세,71.40,23.90,4.70,0.00,1.43
"연령별",50~59세,63.90,36.10,0.00,0.00,1.41
"연령별",60~69세,66.80,22.30,5.50,5.50,1.89
"학력별",초졸이하,0.00,100.00,0.00,0.00,3.00
"학력별",중졸,66.20,33.80,0.00,0.00,1.34
"학력별",고졸,66.30,31.50,0.80,1.40,1.51
"학력별",대졸이상,68.00,28.10,3.90,0.00,1.47
"직업별",전문관리,66.10,33.90,0.00,0.00,1.44
"직업별",사무,73.60,23.40,3.00,0.00,1.38
"직업별",서비스판매,65.20,31.50,3.30,0.00,1.48
"직업별",농어업,100.00,0.00,0.00,0.00,1.00
"직업별",기능노무,64.90,31.40,0.00,3.70,1.62
"직업별",학생,61.20,38.80,0.00,0.00,1.54
"직업별",주부,61.10,33.00,6.00,0.00,1.56
"직업별",무직/기타,73.30,12.90,6.20,7.60,1.98
"혼인상태별",미혼,66.40,31.80,1.20,0.60,1.48
"혼인상태별",기혼,68.20,27.40,4.40,0.00,1.46
"혼인상태별",사별/이혼/기타,61.10,30.70,0.00,8.20,2.08
"가구주여부별",가구주,65.70,30.10,3.70,0.50,1.51
"가구주여부별",가구원,68.80,29.00,1.60,0.60,1.46
"월평균 가구소득별",100만원 미만,80.10,19.90,0.00,0.00,1.40
"월평균 가구소득별",100~200만원 미만,60.30,39.70,0.00,0.00,1.66
"월평균 가구소득별",200~300만원 미만,82.20,11.20,4.70,2.00,1.41
"월평균 가구소득별",300~400만원 미만,61.20,35.40,3.40,0.00,1.52
"월평균 가구소득별",400~500만원 미만,59.90,34.00,4.70,1.40,1.68
"월평균 가구소득별",500~600만원 미만,75.50,24.50,0.00,0.00,1.29
"월평균 가구소득별",600~700만원 미만,68.40,31.60,0.00,0.00,1.38
"월평균 가구소득별",700만원 이상,58.70,37.70,3.60,0.00,1.59
"동거 가구원수별",1인,71.20,25.30,2.50,1.10,1.50
"동거 가구원수별",2인,59.70,36.50,3.90,0.00,1.59
"동거 가구원수별",3인,68.50,28.70,2.70,0.00,1.41
"동거 가구원수별",4인 이상,68.00,28.90,1.90,1.20,1.50
"거주지역별",대도시,62.40,33.20,3.90,0.40,1.57
"거주지역별",중소도시,72.00,25.70,1.60,0.80,1.43
"거주지역별",읍면지역,76.70,23.30,0.00,0.00,1.27
"권역별",수도권,67.50,30.00,1.90,0.70,1.47
"권역별",충청권,76.10,23.90,0.00,0.00,1.28
"권역별",호남권,35.20,61.00,3.80,0.00,1.95
"권역별",동북권,66.80,16.10,17.00,0.00,1.83
"권역별",동남권,75.90,21.30,2.80,0.00,1.32
"인터넷 이용시간별",1시간 미만,66.90,27.20,5.90,0.00,1.56
"인터넷 이용시간별",1~2시간 미만,57.80,41.00,0.00,1.20,1.51
"인터넷 이용시간별",2~3시간 미만,70.40,26.40,3.20,0.00,1.41
"인터넷 이용시간별",3~5시간 미만,57.50,37.30,3.80,1.30,1.71
"인터넷 이용시간별",5시간 이상,80.00,17.90,2.10,0.00,1.32
"사이버폭력 예방교육별",경험 있음,66.90,32.20,0.90,0.00,1.48
"사이버폭력 예방교육별",경험 없음,67.30,28.60,3.40,0.70,1.49
